userNo,registerDays,completedBuyOrderNum,completedSellOrderNum,counterpartyCount,completedBuyOrderNumOfLatest30day
sb9ecda1ec1d931089d5d2cdf192ab0e5,17,12,2,14,12
sc30f93e981643f1497552d4abf141c04,14,3,0,2,3
s8a2393a76f4b360eb2a2fd9a8f11f709,259,234,0,126,47
s86f2bf1592c73609baad60affb212df8,91,0,0,0,0
s6f577197fd1e32c8961b5193fe59d851,17,19,0,10,19
s675060eb9ad736a7ad8a13cd0422ff36,58,39,7,18,7
s7444cae71028311f81a064eaa488ada2,479,32,37,50,32
sabe7c14540bd3de19580cf9bb5e43ef1,2645,79,1,71,6
s503459cad3db37c28d5957c1ae876954,17,3,1,3,3
s1aeda20bb24b364ba6003d34e8d816c2,1271,597,75,230,59
sfcba0bca14e238029113d6378bb69eec,47,26,0,20,21
s9247674522fe3ba5b4361a5178f25f14,688,4,0,4,0
sc9860132be2131d0bed50ef1c315121f,13,3,0,3,3
s3b4f1015c6b13a21acf801abcf26d1e5,265,12,3,12,4
s9bb58913f6f0340b9f87653049627c10,477,203,31,110,78
s571681798ad63d9abc5bee3f83452c9c,26,2,0,2,2
s8a7816c8d8463d2282268ea8cb9ea18e,13,14,0,6,14
sf9f4c9993c2b3b4b9e758083708a0cca,13,0,0,0,0
sa489ec4b41c132fd983509e89905ba66,36,17,10,18,12
s75ab79febcfa3d10993d5bfe723c89e8,1532,18,12,30,1
s08cf022e2db03038a89b0a1e7c39a461,592,3,0,2,3
sf35845aed3703b688fc2bc14bfa4835e,37,96,0,59,76
s18d077b874fd37b28049002aed721c2b,29,2,1,3,2
s2425d8e3f23a32ab92b31f3883257ae5,44,31,0,11,10
s72f8fb96b3b037cd824ea13950d7dc1d,555,17,11,25,12
s2385520408b63c11b14707255813ab32,63,2,0,2,1
sf665f88e886138b69fe85fa90bb950fd,28,4,5,8,4
sc50d1cd6f30d36c4bd3e4b30a32e2ada,1349,95,1,62,10
s8e68a919587a3c8abd4692e69962f410,889,291,76,190,118
s1f5eb3c6907b3308b15d4c8405419b5d,1797,38,0,37,0
s485165a070fc3ed998fe9790ccd0299b,61,33,28,31,13
s83d214b3683637b4943aaa243d5ed1b8,1598,59,23,73,1
sd92ca9c5a47936f79a1963321b3f1621,152,84,11,59,47
s1e8be4557271324b81c052506fceefd8,45,1,0,1,1
s7f32c31d84bf35fa9579cd6c010dcc48,198,2,0,1,2
s568931d0598737379ceec0982806b53c,524,6,0,6,4
s89a4d039623439dcb38048554c3272fe,880,107,1,44,11
sd3d1c74b9938342dae57963156d25428,16,4,0,4,4
s917053bff05b3bddbddc199fddb6eec3,18,0,0,0,0
s8de654d30b9f3f9683d4b48a85c002f5,80,16,0,12,6
s79be1d8d7c0c3b1696e849649c3f931a,97,4,21,16,2
s62f05677bd8e38cc8f5df168e018b162,17,2,0,2,2
s69a34373e65b3d7da38fd85a757d85bb,41,52,0,35,52
sb756c2c7910933b5b2a2405bc8981a46,32,8,0,4,8
s6c2e7ce8a82f33f8a62e444c2f1a49e5,262,31,25,26,26
s0e4b359c17cb31c290c038879874baa6,14,2,0,2,2
s615b80ee8a3f3aa9aca09c1875ecabbd,301,9,0,8,4
s484cd83371bd3e61a6a8224e3c55f7e8,14,18,1,19,18
sdc8da07d7ed53363b0697262c417c7cf,36,0,0,0,0
s3df7704e3a4639539f7ba420a568c3cd,74,118,96,111,17
s70247d39e4d6349fabb774f559b27f78,87,34,8,29,25
s324b85b615213e3cacc3f26753e0ddab,68,1,0,2,1
s95d65c305cd733e9855f4a49bf576e19,14,0,0,0,0
s1e0c71f197bc379aa193c9dc27e1cbe9,493,39,0,22,12
sf0a107dd210b38e0bd6e72de020a2c3d,15,0,1,1,0
s42d16a701a783e319a7b4db78deae3fa,23,12,0,7,12
s420376155d24300d8c2b55985ac3bcdc,13,37,0,13,37
s8e44bcd9ecd638e39d36d74d416b37d2,419,55,0,24,7
s59bf8953685639e28215b699b3ce2293,27,2,0,2,2
s4f09be9d7c2435aa893df44ee8c5507c,29,2,0,1,2
s9dcec8b934883f6fbc9fe7362f33c621,53,4,0,2,1
s4db22afc98db346f9b9731051d9d716e,49,2,0,2,0
s29be85e8dc893b6ab44cd93b2f6fb115,491,34,0,6,15
s1b3052b05e653e53aa78811b9cf2d4a3,21,16,7,18,16
sc76758b8232d34c9b9d924efc3985c3c,379,168,97,129,31
safdc8fe44a423e26be805143d22a9385,13,14,0,13,14
s2f7896d445213c5a965210542a71eb83,1076,485,6,159,62
s05dd3724fd303d9d84f06003755ac81e,25,7,0,2,7
sb96bde5b2e4c3119a63fb71365a9907a,128,3,1,2,2
sc1c000825f753c4bb028a10a814524e7,13,2,0,2,2
s69e4b03af94f3fdbb74adf60fd3c9ba5,36,3,0,3,2
sf719721a59b23141b423c5aa8f460284,14,7,0,6,7
sf9458d729f603bb59adceda380016602,67,116,14,55,103
sab5f9f71c9253d8984fed1c20eed6151,266,32,0,13,4
s0cb9dc6f549a39728229b52a82e8f3af,13,0,0,0,0
s3d50f24de39532109125fd1ae98884ff,19,40,6,27,40
s115342a056e13de089af3e6cbf10e980,243,10,0,5,7
s86c02858b3e13e4a96ddb01b236b43e2,21,8,1,3,8
s63e15c90fbc03195923dda282c4e0815,43,0,0,0,0
sb7e34e3e79ef385b83b0d5b3a670252b,331,27,0,20,3
sbd9b2362cc8d3c47b1545effe05fd8ee,1273,202,0,56,30
s743ad1661f173653b2e0f5cb26888d00,1800,117,164,213,9
sb9a42711665c33b2a5af201fb9a07b9b,59,59,35,38,18
