registerDays,firstOrderDays,avgReleaseTimeOfLatest30day,avgPayTimeOfLatest30day,finishRateLatest30day,completedOrderNumOfLatest30day,completedBuyOrderNumOfLatest30day,completedSellOrderNumOfLatest30day,completedOrderTotalBtcAmountOfLatest30day,completedOrderNum,completedBuyOrderNum,completedSellOrderNum,completedBuyOrderTotalBtcAmount,completedSellOrderTotalBtcAmount,completedOrderTotalBtcAmount,counterpartyCount,userNo
72,72,55.14,56.08,0.929,65,51,14,0,213,178,35,0,0,0,57,seeae00df176f321f85ddbe68053c6d73
455,346,0.0,84.33,0.375,3,3,0,0,3,3,0,0,0,0,3,s49e6ed035a8d3a24b2af29102b5a7d7a
483,283,22.0,45.67,0.962,25,24,1,0,64,59,5,0,0,0,27,s4f957e4670573c688d5859934ee7a475
200,136,95.9,123.18,0.89,186,166,20,0,304,254,50,0,0,0,206,see4bbba4cfb5326a83eb8aa62842476e
471,466,0.0,168.14,0.875,7,7,0,0,88,87,1,0,0,0,67,s86e5a0e861263caca4593bf526146bc0
265,262,20.0,84.83,0.95,19,18,1,0,40,18,22,0,0,0,34,sc0dacc5f3d993eb48787c9c987dba84d
2015,45,0.0,89.76,0.968,59,59,0,0,77,77,0,0,0,0,26,secccf48d07fa3976a5def55b6928b249
510,408,93.0,155.94,0.858,18,17,1,0,59,57,2,0,0,0,39,scfb7c50ca3313c37806c2c9e31ac4ff6
14,14,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,s2938aef8dd973c8d97bafec9bb78a8ba
1935,1644,318.5,103.75,1.0,10,8,2,0,177,131,46,0,0,0,85,sea9eabd01e34301eb161cd7a104271af
1413,1303,0.0,408.0,1.0,3,3,0,0,66,47,19,0,0,0,37,s806ca01c1da032cab010f5753b4afc6b
1633,982,99.0,204.0,0.667,2,1,1,0,79,52,27,0,0,0,68,s4424e6e4bf263ebf98327d9c2ca94e7a
1754,1551,358.5,164.22,0.932,27,23,4,0,221,194,27,0,0,0,151,s68d4495a2e703a0ba17c67cb10b3f58b
997,45,0.0,168.0,1.0,1,1,0,0,3,3,0,0,0,0,3,s5d4578148f753a97a34ef714eba34df2
524,517,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,s830e86b441f53e4998387ddc7bfa01e6
213,206,0.0,165.88,0.728,8,8,0,0,22,22,0,0,0,0,8,s8c401436a7293172b07558c7db7091bf
1713,999,0.0,84.58,0.704,19,19,0,0,49,36,13,0,0,0,43,s012c3b754db4323689b6373664f1f6dd
818,123,0.0,160.63,0.843,16,16,0,0,18,18,0,0,0,0,6,s986a9a4977583289b83cf8b67a514958
465,233,0.0,69.33,0.819,9,9,0,0,47,47,0,0,0,0,6,s14c044ca238b336da12c3ce03fcae840
136,68,765.2,96.89,0.95,75,70,5,0,93,86,7,0,0,0,39,s4ad2ae7735813f1195c6e85a9c67e579
488,324,830.22,394.5,0.79,15,6,9,0,547,18,529,0,0,0,329,sb97aa2cc1d5331eaadc010b445864f5b
403,403,86.0,319.0,1.0,5,3,2,0,5,3,2,0,0,0,5,s3f7998a947bc39c98df3147f2c1fc91d
337,325,0.0,93.0,0.334,1,1,0,0,9,9,0,0,0,0,9,sac2704b7cddb3ebab3c7186880c6dfb2
108,108,0.0,104.17,0.75,6,6,0,0,16,16,0,0,0,0,11,s12b39745558f30359b846c0b30900bb4
398,108,0.0,105.85,0.892,33,33,0,0,124,124,0,0,0,0,27,s8fa57dcb4ff73041940aef5236033d1f
1691,19,0.0,138.33,0.3,3,3,0,0,3,3,0,0,0,0,3,se2224b42bc873db98faf414fdd557901
731,42,0.0,93.33,0.858,6,6,0,0,7,7,0,0,0,0,6,s361c8632aa9e3803ba853c48a74c9bc7
70,68,32.91,41.65,0.858,48,37,11,0,167,129,38,0,0,0,53,s91081bbc0b0238028b6736f9cebe157d
232,232,0.0,165.62,0.867,13,13,0,0,68,68,0,0,0,0,26,s932dbe0fb1c63037aedd37c1f55edd2a
876,716,31.5,117.89,1.0,11,9,2,0,159,138,21,0,0,0,143,s731fc0500cb63342a824c521b2f3310b
14,14,0.0,83.0,0.334,1,1,0,0,1,1,0,0,0,0,1,s6a573a5707f73c7c8ba8f43c9df7697e
62,61,51.77,50.52,0.938,179,153,26,0,212,175,37,0,0,0,100,sa9cf2050f3773222a4fe8bd24dcfa9f5
2934,234,0.0,51.61,0.875,28,28,0,0,58,57,1,0,0,0,32,s7ac5bbf6fc1436c2a6f2d6b75014a9e0
1660,442,0.0,121.5,0.5,2,2,0,0,13,13,0,0,0,0,9,s0f5436c69ed2338bb5fa41f900c62b0d
339,339,383.88,78.67,0.884,38,30,8,0,86,68,18,0,0,0,60,s9f874a98fc0637b6a1b3725d726484b6
23,23,80.0,91.58,0.965,27,19,8,0,27,19,8,0,0,0,21,sdb6394d319c639c49f125cca3f5c104b
710,710,316.0,161.75,0.967,29,24,4,0,394,300,94,0,0,0,207,sbd7a805546dc32f390800e756b9e340c
978,751,453.33,84.75,0.875,7,4,3,0,82,14,68,0,0,0,67,s44b1a59b93fb3b1ea6bf30e06e6729ce
1664,1625,0.0,119.0,0.834,10,10,0,0,390,365,25,0,0,0,223,sacf23edd4bda3d56b386819078f497c2
582,435,33.0,193.0,1.0,3,2,1,0,15,11,4,0,0,0,15,scf501962953c30f18b92decd63723740
82,68,0.0,62.19,0.982,52,52,0,0,55,55,0,0,0,0,9,s75d32b668340365abb060c60d2b5abc2
15,14,0.0,229.0,1.0,1,1,0,0,1,1,0,0,0,0,1,sa283390d9eb633cfa497450f4cc39240
1467,490,0.0,138.0,1.0,1,1,0,0,8,8,0,0,0,0,8,sef5dffccd8583f64bd7b53594ee90061
396,396,0.0,210.0,0.5,2,2,0,0,18,18,0,0,0,0,18,sb12e555fdbff35ba8fe29102fb8762f9
1660,16,0.0,264.0,1.0,1,1,0,0,1,1,0,0,0,0,1,s54ecd19c6d133a8a9e78b2657bf04f39
33,29,0.0,155.25,0.667,4,4,0,0,4,4,0,0,0,0,2,sdf79f720870335a885c8f46c1d23a4f3
59,49,0.0,294.0,1.0,1,1,0,0,2,2,0,0,0,0,2,s5a2e296c60e434bda7ccf9a5271e63db
17,17,0.0,84.0,0.637,7,7,0,0,7,7,0,0,0,0,5,s57b377c3de423c9b8d46e380ddbbf581
15,14,211.0,189.67,0.8,8,6,2,0,8,6,2,0,0,0,7,s08704260ff673ee2bff459f6ad68043e
54,54,0.0,285.33,0.866,45,45,0,0,50,50,0,0,0,0,25,sec990df77c533dbba07a6f008e6251d3
148,148,0.0,241.0,0.6,3,3,0,0,4,4,0,0,0,0,4,sd68a31bd66dc3350b64cf44332a7b68e
367,195,26.0,38.25,1.0,5,4,1,0,81,62,19,0,0,0,40,sae2b44b7b39a3590ab3db7615fe2ec19
1006,1005,0.0,182.0,1.0,1,1,0,0,56,31,25,0,0,0,46,s56b3ec7ed94931e8a55599026422e5bc
51,51,0.0,218.75,0.664,67,67,0,0,79,79,0,0,0,0,66,s61d16fbc33373dfc9246b25d3c492c2d
17,17,0.0,270.0,0.186,5,5,0,0,5,5,0,0,0,0,2,s50484f2a4fe43a92960d791db8a80e84
70,15,0.0,278.0,0.334,2,2,0,0,2,2,0,0,0,0,2,sa4450320281037d0a7cb30480ed5034e
415,267,0.0,80.44,1.0,9,9,0,0,45,39,6,0,0,0,21,s0418f4eaab423f249aae9f753f98bd43
101,85,0.0,61.0,0.667,2,2,0,0,7,5,2,0,0,0,7,se53b4d45d1f43cfabb8195b11b7485df
326,136,0.0,273.0,0.381,8,8,0,0,61,57,4,0,0,0,33,s2c1fc4b1b3fa3af5981855462e3fbf4a
35,16,0.0,290.0,0.667,2,2,0,0,2,2,0,0,0,0,1,s7bedcbe63b283593a6a62bd384fc357e
2933,1624,0.0,96.07,0.875,14,14,0,0,56,40,16,0,0,0,43,sbdca68a8f82b3482af85d0a7a99f9fae
620,591,0.0,218.64,0.957,22,22,0,0,63,61,2,0,0,0,51,se7d4568bcb39379d8edf81e5f0e0430e
1713,930,416.4,58.64,0.952,79,74,5,0,149,134,15,0,0,0,97,s2dec53350cd93070ab0d5191cef184cc
852,482,0.0,193.0,1.0,1,1,0,0,26,24,2,0,0,0,24,s5e9c1f1359fd3a6a8cf441c83e17a787
38,35,0.0,282.0,1.0,2,2,0,0,3,3,0,0,0,0,3,sfef2d316adb233e3b69ff36c6874acfd
